Champion,Ability,Spell Name,Has CC?,CC Type,Ability Description,Cooldown (Seconds)
LeeSin,R,Dragon's Rage,❌,None,"Lee Sin performs a powerful roundhouse kick launching his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are knocked into the air for a short duration. This technique was taught to him by Jesse Perring, although Lee Sin does not kick players off the map.",110/85/60
Leona,,,,,,
Leona,Q,Shield of Daybreak,✅,stun,"Leona uses her shield to perform her next basic attack, dealing bonus magic damage and stunning the target.",5/5/5/5/5
Leona,W,Eclipse,❌,None,"Leona raises her shield to gain Damage Reduction, Armor, and Magic Resist. When the duration first ends, if there are nearby enemies, she will deal magic damage to them and prolong the duration of the effect.",14/13/12/11/10
Leona,E,Zenith Blade,❌,None,"Leona projects a solar image of her sword, dealing magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be briefly immobilized and Leona will dash to them.",12/10.5/9/7.5/6
Leona,R,Solar Flare,✅,"stun, slow","Leona calls down a beam of solar energy, dealing damage to enemies in an area. Enemies in the center of the area are stunned, while enemies on the outside are slowed.",90/75/60
Lillia,,,,,,
Lillia,Q,Blooming Blows,❌,None,"Passively, Lillia gains stacking Move Speed when hitting enemies with spells. She can activate this to deal magic damage to nearby enemies, dealing extra true damage on the edge.",6/5.5/5/4.5/4
Lillia,W,Watch Out! Eep!,❌,None,"Lillia deals damage in a nearby area, dealing heavy damage in the center.",14/13/12/11/10
Lillia,E,Swirlseed,✅,slow,"Lillia hurls a seed that damages and slows those it lands on. If it doesn't hit anything, it will continue rolling until it hits a wall or target.",14/14/14/14/14
Lillia,R,Lilting Lullaby,✅,sleep,Lillia causes all enemies with Dream Dust on them to become Drowsy before falling asleep. Those enemies will take extra damage on being forcibly woken up.,150/130/110
Lissandra,,,,,,
Lissandra,Q,Ice Shard,✅,slow,"Throws a spear of ice that shatters when it hits an enemy, dealing magic damage and slowing Move Speed. Shards pass through the target, dealing the same damage to other enemies hit.",8/7/6/5/4
Lissandra,W,Ring of Frost,✅,root,"Freezes nearby enemies in ice, dealing magic damage and rooting them.",10/9.5/9/8.5/8
Lissandra,E,Glacial Path,❌,None,Lissandra creates an ice claw that deals magic damage. Reactivating this ability transports Lissandra to the claw's current location.,24/21/18/15/12
Lissandra,R,Frozen Tomb,✅,"stun, slow","If cast on an enemy champion, the target is frozen solid, stunning it. If cast on Lissandra, she encases herself in dark ice, healing herself while becoming untargetable and invulnerable. Dark ice then emanates from the target dealing magic damage to enemies and slowing Move Speed.",120/100/80
Lucian,,,,,,
Lucian,Q,Piercing Light,❌,None,Lucian shoots a bolt of piercing light through a target.,9/8/7/6/5
Lucian,W,Ardent Blaze,❌,None,"Lucian shoots a missile that explodes in a star shape, marking and briefly revealing enemies. Lucian gains Move Speed for attacking marked enemies.",14/13/12/11/10
Lucian,E,Relentless Pursuit,❌,None,Lucian quickly dashes a short distance. Lightslinger attacks reduce Relentless Pursuit's cooldown.,19/17.75/16.5/15.25/14
Lucian,R,The Culling,❌,None,Lucian unleashes a torrent of shots from his weapons.,110/100/90
Lulu,,,,,,
Lulu,Q,Glitterlance,✅,slow,Pix and Lulu each fire a bolt of magical energy that damages and heavily slows all enemies it hits.,7/7/7/7/7
Lulu,W,Whimsy,❌,None,"If cast on an ally, grants them Attack Speed and Move Speed for a short time. If cast on an enemy, turns them into an adorable critter that can't attack or cast spells.",18/17.5/17/16.5/16
Lulu,E,"Help, Pix!",❌,None,"If cast on an ally, commands Pix to jump to an ally and shield them. He then follows them and aids their attacks. If cast on an enemy, commands Pix to jump to an enemy and damage them. He then follows them and grants you vision of that enemy.",8/8/8/8/8
Lulu,R,Wild Growth,✅,slow,"Lulu enlarges an ally, knocking nearby enemies into the air and granting the ally a large amount of bonus health. For the next few seconds, that ally gains an aura that slows nearby enemies.",100/90/80
Lux,,,,,,
Lux,Q,Light Binding,❌,None,Lux releases a sphere of light that binds and deals damage to up to two enemy units.,11/10.5/10/9.5/9
Lux,W,Prismatic Barrier,❌,None,"Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage.",14/13/12/11/10
Lux,E,Lucent Singularity,✅,slow,"Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect.",10/9.5/9/8.5/8
Lux,R,Final Spark,❌,None,"After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration.",60/50/40
Malphite,,,,,,
Malphite,Q,Seismic Shard,❌,None,"Malphite sends a shard of the earth through the ground at his foe, dealing damage upon impact and stealing Move Speed for 3 seconds.",8/8/8/8/8
Malphite,W,Thunderclap,❌,None,"Malphite attacks with such force that it creates a sonic boom. For the next few seconds, his attacks create aftershocks in front of him.",10/9.5/9/8.5/8
Malphite,E,Ground Slam,❌,None,"Malphite slams the ground, sending out a shockwave that deals magic damage based on his Armor and reduces the Attack Speed of enemies for a short duration.",7/7/7/7/7
Malphite,R,Unstoppable Force,❌,None,"Malphite launches himself to a location at high speed, damaging enemies and knocking them into the air.",130/105/80
Malzahar,,,,,,
Malzahar,Q,Call of the Void,✅,silence,"Malzahar opens up two portals to the Void. After a short delay, they fire projectiles that deal Magic Damage and silence enemy champions.",6/6/6/6/6
Malzahar,W,Void Swarm,❌,None,Malzahar summons Voidlings to attack nearby enemies.,8/8/8/8/8
Malzahar,E,Malefic Visions,❌,None,"Malzahar infects his target's mind with cruel visions of their demise, dealing damage over time. Using Malzahar's other spells on the target will refresh the visions.<br><br>If the target dies while afflicted by the visions, they pass on to a nearby enemy unit and Malzahar gains Mana. Malzahar's Voidlings are attracted to affected units.",11/10/9/8/7
Malzahar,R,Nether Grasp,✅,suppress,Malzahar channels the essence of the Void to suppress an enemy champion over a zone of damaging negative energy.,140/110/80
Maokai,,,,,,
Maokai,Q,Bramble Smash,✅,slow,"Maokai knocks back nearby enemies with a shockwave, dealing magic damage and slowing them.",7/6.5/6/5.5/5
Maokai,W,Twisted Advance,✅,root,"Maokai contorts into a mass of moving roots, becoming untargetable and dashing to the target. Upon arrival, he roots the target.",14/13/12/11/10
Maokai,E,Sapling Toss,❌,None,Maokai flings a sapling to the target area to stand guard. More effective in brush.,18/17/16/15/14
Maokai,R,Nature's Grasp,✅,"slow, root","Maokai summons a colossal wall of brambles and thorns that slowly advances forwards, damaging and rooting any enemies in the path.",130/110/90
MasterYi,,,,,,
MasterYi,Q,Alpha Strike,✅,blind,"Master Yi teleports across the battlefield with blinding speed, dealing physical damage to multiple units in his path, while simultaneously becoming untargetable. Alpha Strike can critically strike and deals bonus physical damage to monsters. Basic attacks reduce Alpha Strike's cooldown.",20/19.5/19/18.5/18
MasterYi,W,Meditate,❌,None,"Master Yi rejuvenates his body by focus of mind, restoring Health and taking reduced damage for a short time. In addition, Master Yi will gain stacks of Double Strike and pause the remaining duration on Wuju Style and Highlander for each second he channels.",10/10/10/10/10
MasterYi,E,Wuju Style,❌,None,Grants bonus true damage on basic attacks.,14/14/14/14/14
MasterYi,R,Highlander,✅,slow,"Master Yi moves with unparalleled agility, temporarily increasing his Move Speed and Attack Speed as well as making him immune to all slowing effects. While active, Champion kills or assists extend Highlander's duration. Passively reduces cooldown for his other abilities on a kill or assist.",85/85/85
Mel,,,,,,
Mel,Q,Radiant Volley,❌,None,"Mel fires a barrage of projectiles that explode around a target location, dealing damage repeatedly to enemies within the area.",10/9/8/7/6
Mel,W,Rebuttal,❌,None,"Mel forms a barrier around herself that reflects enemy projectiles back at the attacker, prevents her from taking damage, and grants her movement speed.",35/32/29/26/23
Mel,E,Solar Snare,✅,"slow, root","Mel fires a radiant orb forward, rooting those at its center while the area around it slows enemies and deals damage over time.",12/11.5/11/10.5/10
Mel,R,Golden Eclipse,❌,None,"Mel strikes all enemies marked with Overwhelm regardless of their distance from her, dealing additional damage for each stack of Overwhelm.<br><br>Ranks of Golden Eclipse increase Overwhelm's damage.",120/100/80
Milio,,,,,,
Milio,Q,Ultra Mega Fire Kick,✅,slow,"Kick a ball that knocks back an enemy. The ball launches upward on hit and falls toward the enemy, damaging and slowing enemies in the area upon impact.",10/10/10/10/10
Milio,W,Cozy Campfire,❌,None,Create an empowering zone that heals allies and increases attack range to those inside. The zone follows the ally nearest to the cast point.,29/27/25/23/21
Milio,E,Warm Hugs,❌,None,"Milio tosses a shield to an ally, temporarily increasing their movement speed. This ability has 2 charges.",0.5/0.5/0.5/0.5/0.5
Milio,R,Breath of Life,❌,None,Milio unleashes a wave of soothing flames that heal and remove crowd control effects from allies in range.,160/145/130
MissFortune,,,,,,
MissFortune,Q,Double Up,❌,None,"Miss Fortune fires a bullet at an enemy, damaging them and a target behind them. Both strikes can also apply Love Tap.",7/6/5/4/3
MissFortune,W,Strut,❌,None,"Miss Fortune passively gains Move Speed when not attacked. This ability can be activated to grant bonus Attack Speed for a short duration. While it's on cooldown, Love Taps reduce the remaining cooldown of Strut.",12/12/12/12/12
MissFortune,E,Make It Rain,✅,slow,"Miss Fortune reveals an area with a flurry of bullets, dealing waves of damage to opponents and slowing them.",18/17/16/15/14
MissFortune,R,Bullet Time,❌,None,"Miss Fortune channels a barrage of bullets into a cone in front of her, dealing large amounts of damage to enemies. Each wave of Bullet Time can critically strike",120/110/100
MonkeyKing,,,,,,
MonkeyKing,Q,Crushing Blow,❌,None,"Wukong's next attack gains attack range, deals bonus damage, and reduces the target's armor for a few seconds.",8/7.5/7/6.5/6
MonkeyKing,W,Warrior Trickster,❌,None,"Wukong becomes <font color='#91d7ee'>Invisible</font> and dashes in a direction, leaving behind a clone that will attack nearby enemies.",20/19/18/17/16
MonkeyKing,E,Nimbus Strike,❌,None,"Wukong dashes to a targeted enemy and sends out images to attack enemies near his target, dealing damage to each enemy struck.",10/9.25/8.5/7.75/7
MonkeyKing,R,Cyclone,❌,None,"Wukong's extends his staff and spins it around repeatedly, gaining Move Speed.<br><br>Enemies struck take damage and are knocked up.",130/110/90
Mordekaiser,,,,,,
Mordekaiser,Q,Obliterate,❌,None,Mordekaiser smashes the ground with his mace dealing damage to each enemy struck. Damage is increased when hitting a single enemy.,8/7/6/5/4
Mordekaiser,W,Indestructible,❌,None,Mordekaiser stores damage he deals and takes to create a shield. He may consume the shield to heal.,12/11/10/9/8
Mordekaiser,E,Death's Grasp,❌,None,Mordekaiser pulls all enemies in an area.,18/16/14/12/10
Mordekaiser,R,Realm of Death,❌,None,"Mordekaiser drags his victim to a different dimension with him and steals a portion of their stats. If he kills them, he keeps the stats until the victim respawns.",140/120/100
Morgana,,,,,,
Morgana,Q,Dark Binding,❌,None,"Morgana binds an enemy in place with dark magic, forcing them to feel the pain they've caused and dealing magic damage. ",10/10/10/10/10
Morgana,W,Tormented Shadow,❌,None,"Morgana casts a cursed shadow on an area, damaging enemies who dare stand in her dark circle. They receive magic damage over time, which increases the lower health they are.",12/12/12/12/12
Morgana,E,Black Shield,❌,None,"Morgana anoints an ally with a protective barrier of starfire, which absorbs magical damage and disabling effects until it is broken.",26/23.5/21/18.5/16
Morgana,R,Soul Shackles,✅,"stun, slow","Morgana unleashes the full force of her Celestial power as she unbinds her wings and hovers above the ground. She lashes chains of dark pain onto nearby enemy champions, gaining Move Speed. The chains slow and deal initial damage and, after a delay, stun those who are unable to break them.",120/110/100
Naafiri,,,,,,
Naafiri,Q,Darkin Daggers,❌,None,"Naafiri hurls up to two daggers, each inflicting bleed, or each inflicting bonus damage if the target is already bleeding.<br><br>Packmates leap to attack champions hit by this skill.<br>",9/8.5/8/7.5/7
Naafiri,W,Hounds' Pursuit,❌,None,"Naafiri and her packmates dash at an enemy, colliding with the first champion hit and dealing damage.",22/20/18/16/14
Naafiri,E,Eviscerate,❌,None,"Naafiri dashes and damages enemies in an area around her, recalling her packmates and fully healing them.",10/9.5/9/8.5/8
Naafiri,R,The Call of the Pack,❌,None,"Naafiri empowers her pack and spawns additional packmates, instantly receiving a burst of speed and vision and gaining a shield the first time she hits another champion.<br><br>After killing another champion for the first time, all effects are refreshed.<br>",120/110/100
Nami,,,,,,
Nami,Q,Aqua Prison,✅,stun,"Sends a bubble to a target area, dealing damage and stunning all enemies on impact.",12/11/10/9/8
Nami,W,Ebb and Flow,❌,None,"Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies.",10/10/10/10/10
Nami,E,Tidecaller's Blessing,✅,slow,Empowers an allied champion for a short duration. The ally's basic attacks and spells deal bonus magic damage and slow the target.,11/11/11/11/11
Nami,R,Tidal Wave,✅,slow,"Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides.",120/110/100
Nasus,,,,,,
Nasus,Q,Siphoning Strike,❌,None,"Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target.",7.5/6.5/5.5/4.5/3.5
Nasus,W,Wither,❌,None,"Nasus ages an enemy champion, decelerating their Move Speed and Attack Speed over time.",15/14/13/12/11
Nasus,E,Spirit Fire,❌,None,"Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it.",12/12/12/12/12
Nasus,R,Fury of the Sands,❌,None,"Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, damages nearby enemies, has a reduced cooldown on Siphoning Strike, and gains bonus Armor and Magic Resistance.",120/100/80
Nautilus,,,,,,
Nautilus,Q,Dredge Line,❌,None,"Nautilus hurls his anchor forward.  Colliding with an enemy pulls them and Nautilus together, dealing magic damage.  Colliding with terrain pulls Nautilus towards it.",14/13/12/11/10
Nautilus,W,Titan's Wrath,❌,None,"Nautilus gains a temporary Shield.  While it persists, his Attacks deal damage over time to his target and surrounding enemies.",12/12/12/12/12
Nautilus,E,Riptide,✅,slow,Nautilus creates three exploding waves around himself. Each explosion damages and slows enemies.,7/6.5/6/5.5/5
Nautilus,R,Depth Charge,✅,stun,"Nautilus fires a shockwave into the earth that chases an opponent. This shockwave rips up the earth above it, knocking enemies into the air. When it reaches the opponent, the shockwave erupts, knocking his target into the air and stunning them.",120/100/80
Neeko,,,,,,
Neeko,Q,Blooming Burst,❌,None,Neeko throws a seed dealing magic damage. The seed blooms again on hitting champions or killing units.,9/8.5/8/7.5/7
Neeko,W,Shapesplitter,❌,None,Neeko passively deals bonus magic damage every third attack. Neeko can activate to send a clone in a direction.,16/15/14/13/12
Neeko,E,Tangle-Barbs,✅,root,"Neeko slings a tangle that damage and root everything it passes through. If the tangle kills an enemy or passes through a champion, it becomes larger, faster, and roots for longer.",12/11.5/11/10.5/10
Neeko,R,Pop Blossom,❌,None,"After a short preparation, Neeko leaps into the air. Upon landing, nearby enemies are damaged and knocked up. The preparation is hidden if Neeko is disguised.",120/105/90
Nidalee,,,,,,
Nidalee,Q,Javelin Toss / Takedown,❌,None,"In human form, Nidalee throws a spiked javelin at her target that gains damage as it flies.  As a cougar, her next attack will attempt to fatally wound her target, dealing more damage the less life they have.",6/6/6/6/6
Nidalee,W,Bushwhack / Pounce,❌,None,"In human form, Nidalee lays a trap for unwary opponents that, when sprung, damages and reveals its target. As a cougar, she jumps in a direction, dealing damage in an area where she lands.",13/12/11/10/9
Nidalee,E,Primal Surge / Swipe,❌,None,"In human form, Nidalee channels the spirit of the cougar to heal her allies and imbue them with Attack Speed for a short duration. As a cougar, she claws in a direction, dealing damage to enemies in front of her.",12/12/12/12/12
Nidalee,R,Aspect Of The Cougar,❌,None,"Nidalee transforms into a cougar, gaining new abilities.",3/3/3/3
Nilah,,,,,,
Nilah,Q,Formless Blade,❌,None,"With a snap of her whip-blade, Nilah damages any enemies she hits in a straight line in her chosen direction. This action extends her attack range for a short duration.",4/4/4/4/4
Nilah,W,Jubilant Veil,❌,None,"Nilah envelops herself in mist, increasing her movement speed and allowing her to gracefully dodge all incoming attacks. Any allies she touches during the mist's duration will also gain this effect.",26/25/24/23/22
Nilah,E,Slipstream,❌,None,"Nilah enthusiastically dashes toward her target, dealing damage to any enemies she passes through on the way.",0.5/0.5/0.5/0.5/0.5
Nilah,R,Apotheosis,❌,None,"Twirling her whip-blade in joyful exuberance, Nilah deals damage to enemies around her before pulling them closer with her weapon.",110/95/80
Nocturne,,,,,,
Nocturne,Q,Duskbringer,❌,None,"Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Move Speed and Attack Damage.",8/8/8/8/8
Nocturne,W,Shroud of Darkness,❌,None,"Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful.",20/18/16/14/12
Nocturne,E,Unspeakable Horror,✅,fear,"Nocturne plants a nightmare into his target's mind, dealing damage each second and applying fear to the target if they do not get out of range by the end of the duration.",15/14/13/12/11
Nocturne,R,Paranoia,❌,None,Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion.,140/115/90
Nunu,,,,,,
Nunu,Q,Consume,❌,None,"Willump takes a bite out of a minion, monster, or enemy champion, dealing damage and healing himself.",12/11/10/9/8
Nunu,W,Biggest Snowball Ever!,❌,None,Willump creates a snowball that grows in size and speed as he rolls it.  The snowball damages and knocks up enemies.,14/14/14/14/14
Nunu,E,Snowball Barrage,✅,root,"Nunu throws multiple snowballs that damage enemies.  When he's finished, Willump roots any champions or large monsters that were hit by a snowball.",14/13/12/11/10
Nunu,R,Absolute Zero,✅,slow,Nunu & Willump create a powerful blizzard in an area that slows enemies and deals massive damage at the end.,110/100/90
Olaf,,,,,,
Olaf,Q,Undertow,❌,None,"Olaf throws an axe into the ground at a target location, dealing damage to enemies it passes through and reducing their Armor and Move Speed. If Olaf picks up the axe, the ability's cooldown is reset.",9/9/9/9/9
Olaf,W,Tough It Out,❌,None,Olaf's Attack Speed is increased and he gains a Shield.,16/15/14/13/12
Olaf,E,Reckless Swing,❌,None,"Olaf attacks with such force that it deals true damage to his target and himself, refunding the Health cost if he destroys the target.",11/10/9/8/7
Olaf,R,Ragnarok,❌,None,Olaf passively gains increased armor and magic resist. He can activate this ability to become immune to disables for as long as he keeps attacking.,100/90/80
Orianna,,,,,,
Orianna,Q,Command: Attack,❌,None,"Orianna commands her Ball to fire toward a target location, dealing magic damage to targets along the way (deals less damage to subsequent targets). Her Ball remains at the target location after.",6/5.25/4.5/3.75/3
Orianna,W,Command: Dissonance,✅,slow,"Orianna commands her Ball to release a pulse of energy, dealing magic damage around it. This leaves a field behind that speeds up allies and slows enemies.",7/7/7/7/7
Orianna,E,Command: Protect,❌,None,"Orianna commands her Ball to attach to an allied champion, Shielding them and dealing magic damage to any enemies it passes through on the way. Additionally, the Ball grants additional Armor and Magic Resist to the champion it is attached to.",9/9/9/9/9
Orianna,R,Command: Shockwave,❌,None,"Orianna commands her Ball to unleash a shockwave, dealing magic damage and launching nearby enemies towards the Ball after a short delay.",110/95/80
Ornn,,,,,,
Ornn,Q,Volcanic Rupture,✅,slow,"Ornn slams the ground, sending out a fissure dealing damage and slowing enemies hit. After a small delay, a magma pillar forms at the end location.",9/8.5/8/7.5/7
Ornn,W,Bellows Breath,❌,None,"Ornn advances, breathing fire. Enemies hit by the final gout of flame become Brittle.",12/11.5/11/10.5/10
Ornn,E,Searing Charge,❌,None,"Ornn charges, dealing damage to enemies he passes through. If Ornn collides with terrain while charging, the impact creates a shockwave around him which deals damage and knocks up enemies.",14/13.5/13/12.5/12
Ornn,R,Call of the Forge God,✅,slow,"Ornn summons a massive elemental at a location which travels toward him with increasing speed. Enemies run over by the elemental take damage, are slowed and are made Brittle. Ornn can recast the ability to charge into the elemental, redirecting it in the direction he hits it, causing the elemental to affect any enemies it runs over to be knocked up, dealing the same damage and re-applying Brittle.",140/120/100
Pantheon,,,,,,
Pantheon,Q,Comet Spear,❌,None,Pantheon either thrusts his spear or throws his spear in the chosen direction.,11/10.25/9.5/8.75/8
Pantheon,W,Shield Vault,✅,stun,"Pantheon dashes to a target, damaging and stunning them.",13/12/11/10/9
Pantheon,E,Aegis Assault,❌,None,"Pantheon sets his shield, becoming invulnerable to damage from the front and striking repeatedly with his spear.",22/21/20/19/18
Pantheon,R,Grand Starfall,❌,None,"Pantheon composes himself and then leaps into the air, landing at a chosen location as a comet.",180/165/150
Poppy,,,,,,
Poppy,Q,Hammer Shock,✅,slow,"Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay.",8/7/6/5/4
Poppy,W,Steadfast Presence,✅,slow,"Poppy passively gains Armor and Magic Resist. This bonus increases when she is low on Health. Poppy can activate Steadfast Presence to gain Move Speed and stop enemy dashes around her. If a dash is stopped, the enemy is slowed and grounded.",20/18/16/14/12
Poppy,E,Heroic Charge,✅,stun,"Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned.",14/13/12/11/10
Poppy,R,Keeper's Verdict,❌,None,Poppy channels a hammer strike that knocks enemies very far away.,140/120/100
Pyke,,,,,,
Pyke,Q,Bone Skewer,❌,None,Pyke either stabs an enemy in front of him or pulls an enemy towards him.,10/9.5/9/8.5/8
Pyke,W,Ghostwater Dive,❌,None,Pyke enters Camouflage and gains significant Move Speed that decays over time.,14/13/12/11/10
Pyke,E,Phantom Undertow,✅,stun,"Pyke dashes and leaves behind a phantom that will return to him, stunning enemy champions along its path.",15/14/13/12/11
Pyke,R,Death From Below,❌,None,"Pyke blinks to and executes low health enemies, allowing him to cast this spell again and granting additional gold to an ally who assists.",100/85/70
Qiyana,,,,,,
Qiyana,Q,Elemental Wrath / Edge of Ixtal,❌,None,"Qiyana swings her weapon, dealing damage with a bonus effect based on her element.",7/7/7/7/7
Qiyana,W,Terrashape,❌,None,Qiyana dashes to a location and enchants her weapon with an element. Her attacks and abilities deal bonus damage while her weapon is enchanted. ,7/7/7/7/7
Qiyana,E,Audacity,❌,None,"Qiyana dashes to an enemy, damaging them.",11/10/9/8/7
Qiyana,R,Supreme Display of Talent,✅,stun,"Qiyana sends out a shockwave that detonates whatever elements she hits with it, stunning and damaging nearby enemies.",120/120/120
Quinn,,,,,,
Quinn,Q,Blinding Assault,❌,None,Quinn calls Valor to mark an enemy and hinder its vision before damaging all enemies in the immediate area.,11/10.5/10/9.5/9
Quinn,W,Heightened Senses,❌,None,Passively grants Quinn Attack Speed and Move Speed after she attacks a <font color='#FFF673'>Vulnerable</font> target. Activate to have Valor reveal a large area nearby.,50/45/40/35/30
Quinn,E,Vault,✅,slow,"Quinn dashes to an enemy, dealing physical damage and slowing the target's Move Speed. Upon reaching the target, she leaps off the target, briefly interrupting it, and lands near her maximum Attack Range away from the target.",12/11/10/9/8
Quinn,R,Behind Enemy Lines,❌,None,"Quinn and Valor team up to fly around at great speed.  Ending the ability casts Skystrike, which deals damage to nearby enemies and marks champions as Vulnerable.",3/3/3
Rakan,,,,,,
Rakan,Q,Gleaming Quill,❌,None,Flings a magical feather that deals magic damage. Striking a champion or epic monster enables Rakan to heal his allies.,11/10/9/8/7
Rakan,W,Grand Entrance,❌,None,"Dashes to a location, knocking up nearby enemies on arrival.",14/13/12/11/10
Rakan,E,Battle Dance,❌,None,Flies to an allied champion granting them a shield. Can be re-cast for free for a short duration.,0/0/0/0/0
Rakan,R,The Quickness,✅,charm,"Gains Move Speed, charming and dealing magic damage to enemies touched.",130/110/90
Rammus,,,,,,
Rammus,Q,Powerball,✅,slow,"Rammus accelerates in a ball towards his enemies, dealing damage and slowing targets affected by the impact.",12/10.5/9/7.5/6
Rammus,W,Defensive Ball Curl,❌,None,"Rammus goes into a defensive formation, vastly increasing his Armor and Magic Resistance, amplifying Spiked Shells' damage, and returning damage to enemies that basic attack him.",7/7/7/7/7
Rammus,E,Frenzying Taunt,✅,taunt,"Rammus taunts an enemy champion or monster into a reckless assault against him. Additionally, he gains increased Attack Speed for a short time, but this bonus is extended by having any of his other spells active.",12/12/12/12/12
Rammus,R,Soaring Slam,✅,slow,"Rammus hops into the air and slams down at a target area, dealing magic damage and slowing enemies. If cast while Rammus is in Powerball, Rammus knocks up enemies near the center as well.",90/90/90
RekSai,,,,,,
RekSai,Q,Queen's Wrath / Prey Seeker,❌,None,"Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies.<br><br>While Burrowed, Rek'Sai launches a burst of void-charged earth that damages and reveals enemies hit.",4/3.5/3/2.5/2
RekSai,W,Burrow / Un-burrow,❌,None,"Rek'Sai burrows into the ground, gaining new abilities and increased Move Speed. Her vision range is reduced and she cannot use basic attacks.<br><br>While Burrowed, Rek'Sai may cast Unburrow to knock up and damage nearby enemies.",4/4/4/4/4
RekSai,E,Furious Bite / Tunnel,❌,None,"Rek'Sai bites her target, dealing bonus damage if she has max Fury.<br><br>While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance.",10/10/10/10/10
RekSai,R,Void Rush,❌,None,Rek'Sai passively marks targets by damaging them. She can activate this ability to become briefly untargetable and lunge at a marked target for heavy damage based on their missing health.,100/90/80
Rell,,,,,,
Rell,Q,Shattering Strike,✅,stun,"Rell deals magic damage to units in a line, breaking their shields and stunning them. ",11/10.5/10/9.5/9
Rell,W,Ferromancy: Crash Down,✅,slow,"Mounted: Rell Dismounts, crashing down in her armor, Knocking enemies up and gaining a large Shield. While dismounted, she gains Armor, Magic Resist, Attack Speed, and Attack Range, but is Slowed.<br><br>Dismounted: Rell forms her Mount, gaining a burst of speed and Knocking Up the next enemy she attacks.<br><br>",10/10/10/10/10
Rell,E,Full Tilt,❌,None,"Passive: Rell gains out of combat Move Speed.<br><br>Active: Rell and an ally gain ramping Move Speed, doubled toward enemies and each other. Her next Attack explodes, dealing magic damage.<br>",14/13/12/11/10
Rell,R,Magnet Storm,❌,None,"Rell explodes in a magnetic fury, violently Pulling nearby enemies toward herself. Then Rell constantly Drags nearby enemies toward herself for a short while, dealing magic damage over time.",120/100/80
Renata,,,,,,
Renata,Q,Handshake,✅,root,"Renata sends out a missile rooting the first enemy hit, and can recast the ability to throw the unit in a direction.",16/16/16/16/16
Renata,W,Bailout,❌,None,"Renata buffs an allied champion to fight harder, delaying their death and potentially saving them if they get a takedown.",28/27/26/25/24
Renata,E,Loyalty Program,✅,slow,"Renata sends out a pair of chemtech missiles, shielding allies and damaging and slowing enemies hit.",14/13/12/11/10
Renata,R,Hostile Takeover,❌,None,"Renata sends out a wave of chemicals, causing any enemies hit to go Berserk.",150/130/110
Renekton,,,,,,
Renekton,Q,Cull the Meek,❌,None,"Renekton swings his blade, dealing moderate physical damage to all targets around him, and heals for a small portion of the damage dealt. If he has more than 50 Fury, his damage and heal are increased.",7/7/7/7/7
Renekton,W,Ruthless Predator,✅,stun,"Renekton slashes his target twice, dealing moderate physical damage and stuns them for 0.75 seconds. If Renekton has more than 50 Fury, he slashes his target three times, destroying damage shields on the target, dealing high physical damage, and stunning them for 1.5 seconds.",16/14/12/10/8
Renekton,E,Slice and Dice,❌,None,"Renekton dashes, dealing damage to units along the way. Empowered, Renekton deals bonus damage and reduces the Armor of units hit.",16/14.5/13/11.5/10
Renekton,R,Dominus,❌,None,"Renekton transforms into the Tyrant form, gaining bonus Health and dealing damage to enemies around him. While in this form, Renekton gains Fury periodically.",120/100/80
Rengar,,,,,,
Rengar,Q,Savagery,❌,None,Rengar's next Attack brutally stabs his target for bonus damage.<br><br>Ferocity effect: deals increased damage and grants Attack Speed.,0.25/0.25/0.25/0.25/0.25
Rengar,W,Battle Roar,❌,None,"Rengar lets out a battle roar, damaging enemies and healing for some of the recent damage he has taken.<br><br>Ferocity effect: additionally breaks crowd control effects.",0.25/0.25/0.25/0.25/0.25
Rengar,E,Bola Strike,✅,"slow, root","Rengar throws a bola, slowing the first target hit for a short duration.<br><br>Ferocity effect: roots the target.",0.25/0.25/0.25/0.25/0.25
